Time, xActual, yActual, angleActual, xTarget, yTarget, angleTarget, XTE, lagE, angleE, pLeft, pRight
195.083789, 1.8928047623863216, 0.9859019107627224, 0.1738059161523725, 1.9125601826435588, 0.9939234145548718, 0.07307381006591679, 0.00644297710775314, 0.018934549123492322, -0.09955480553683659, 0.15694101867584126, 0.026402080129822883
195.089002, 1.8937789603451343, 0.9860729579697882, 0.1738059161523725, 1.9137743325558836, 0.9940715618174685, 0.07202716886931262, 0.006458311650647719, 0.019304253164528974, -0.10073210608645572, 0.1578840384487929, 0.026198468438944536
195.094269, 1.8946139871669736, 0.986219569861559, 0.1738059161523725, 1.9150010595054758, 0.9942212436958682, 0.07096968581108892, 0.006452760568262422, 0.01967573363680929, -0.10177874728305988, 0.15878439060176058, 0.026041077230537488
195.099557, 1.895657770694273, 0.9864028347262724, 0.17360544796765218, 1.9162326775251164, 0.9943715223693024, 0.06990798647334619, 0.006427092722236979, 0.01984900047834219, -0.10263576215656325, 0.15941183272607062, 0.025760168789293256
195.10481, 1.8965624149066935, 0.9865614829264968, 0.17340497978293248, 1.9174561437613382, 0.9945208063843451, 0.06885331426813898, 0.00641697421631188, 0.020167756183648466, -0.1034969933095863, 0.1601713225138135, 0.02563819041216292
195.110036, 1.8974670909048525, 0.9867199497711514, 0.17320451159821215, 1.9186733214789364, 0.9946693230914877, 0.06780406299373297, 0.006407147518628029, 0.020478380274658568, -0.10435119733007317, 0.1609188753127509, 0.025511885795245715
195.115279, 1.89823261284508, 0.9868538836411423, 0.17300404341349182, 1.9198944586341824, 0.9948183229184187, 0.06675139854067795, 0.006412579645856264, 0.02092325226970654, -0.10519998041975885, 0.16178270672541345, 0.025537798372679096
195.120558, 1.899067756962525, 0.9869998259006044, 0.17300404341349182, 1.9211239804809441, 0.9949683458225522, 0.06569150617987274, 0.006411905565713067, 0.02130182774210155, -0.10625264487281387, 0.1626882885044792, 0.025389367538403387
195.125807, 1.8998333057368497, 0.9871336063051114, 0.17320451159821215, 1.9223465150847847, 0.9951175161623513, 0.06463763707551842, 0.006420229897262585, 0.021759058399463526, -0.10751300541833941, 0.16376737510305442, 0.025224742254552124
195.13105, 1.9004596418697628, 0.9872431885623766, 0.17340497978293185, 1.9235676522400311, 0.9952665159892826, 0.06358497262246339, 0.006444152907125723, 0.022349790772885347, -0.10876734270741342, 0.16496135311115012, 0.02521222899330007
195.136345, 1.9012947274065248, 0.98738946564975, 0.17340497978293185, 1.9248009006163564, 0.9954169935943952, 0.06252186785821241, 0.0064458628559032755, 0.02272843933783043, -0.10982000716046846, 0.16586462395384516, 0.025066255280495192
195.141615, 1.902129812943287, 0.9875357427371235, 0.17300404341349182, 1.9260283262902393, 0.9955667607292282, 0.061463782474344766, 0.006449336562189015, 0.023119221207965775, -0.11048217555527941, 0.16658301631510025, 0.025129426659510803
195.146859, 1.9028257663744914, 0.9876573612866754, 0.17300404341349182, 1.9272496963535888, 0.9957157889749711, 0.06041091724606938, 0.006469244759284039, 0.02364458201005474, -0.11154026093914705, 0.16761751161202798, 0.025145652966760954
195.152153, 1.9035913151488157, 0.9877911416911823, 0.1728035752287715, 1.928482711821811, 0.995866238161272, 0.059348013257038756, 0.006481835917422246, 0.024093668025903296, -0.11239265798270211, 0.16848020499151586, 0.025181131618970204
195.156455, 1.9042176951668985, 0.9879004728187115, 0.17300404341349182, 1.9294846824573029, 0.9959884958868983, 0.0584842782814415, 0.006512505696456988, 0.024694771112718082, -0.11365603015645306, 0.1696823243861714, 0.025181218397944266
195.161739, 1.9049136485981026, 0.9880220913682632, 0.1726031070440518, 1.930715368844556, 0.9961386608850883, 0.05742338204455736, 0.006516584090852038, 0.024994668184461808, -0.11411882876261029, 0.1702095423665987, 0.02525379456100442
195.166971, 1.9056096507346683, 0.9881434308750054, 0.1726031070440518, 1.9319339440107288, 0.9962873481050964, 0.05637292611886917, 0.00654118864035925, 0.02552319799512804, -0.11517972499949444, 0.1712439157461998, 0.02527648080273577
