Time, xActual, yActual, angleActual, xTarget, yTarget, angleTarget, XTE, lagE, angleE, pLeft, pRight,pAverage,velocity,classification
261.704546,-2.383358805,0.433257887,1.581021327,-2.384979707,0.542247183,1.608210902,-0.002377306,0.10718984,0.026634947,0.175709363,0.219499212,0.197604288,0.06766402,0
261.709835,-2.383362464,0.433615743,1.580628058,-2.385026333,0.544037595,1.608767319,-0.00244734,0.108615909,0.027582844,0.176731517,0.221329196,0.199030357,0.067358366,0
261.715148,-2.383365982,0.433973601,1.580496968,-2.38507317,0.545836131,1.609326261,-0.002519081,0.110047688,0.028270351,0.177891285,0.223032987,0.200462136,0.059076728,0
261.719475,-2.383368462,0.434229214,1.580365878,-2.385111316,0.54730089,1.609781473,-0.0025957,0.11158975,0.028960383,0.179164949,0.224843446,0.202004197,0.086036836,0
261.724823,-2.383372865,0.434689318,1.579972609,-2.385158462,0.549111274,1.610344097,-0.002651937,0.112593764,0.029808864,0.17980096,0.226215463,0.203008211,0.077140702,0
261.730125,-2.383376618,0.435098301,1.579710429,-2.385205202,0.550906087,1.610901882,-0.002727334,0.113994275,0.030633668,0.180864466,0.22795298,0.204408723,0.094304819,0
261.734462,-2.383380264,0.435507284,1.57944825,-2.385243435,0.552374231,1.611358146,-0.002803422,0.115379178,0.031453632,0.181915475,0.229671777,0.205793626,0.087128385,0
261.739743,-2.383384245,0.435967392,1.579054981,-2.385289991,0.554161935,1.611913721,-0.002862717,0.116386484,0.032303165,0.182557309,0.231044554,0.206800931,0.086914431,0
261.745037,-2.383388045,0.436427501,1.578661711,-2.385336661,0.555954039,1.612470664,-0.002939231,0.117713105,0.03325201,0.183486022,0.232769084,0.208127553,0.06733302,0
261.750352,-2.38339086,0.436785365,1.578268442,-2.385383516,0.557753252,1.613029817,-0.003020727,0.119146272,0.034202222,0.184525578,0.234595861,0.20956072,0.076923077,0
261.755669,-2.383393916,0.437194354,1.578006263,-2.385430389,0.559553143,1.613589179,-0.003102284,0.120535399,0.035023554,0.185585596,0.236314097,0.210949846,0.067830743,0
261.760945,-2.383396496,0.43755222,1.578137352,-2.3854769,0.561339154,1.614144229,-0.003187144,0.121976244,0.035451827,0.186897165,0.237884218,0.212390691,0.077638573,0
261.766213,-2.383399499,0.437961209,1.578137352,-2.385523341,0.563122456,1.614698437,-0.00327105,0.12335207,0.036006876,0.188079373,0.239453662,0.213766517,0.059351056,0
261.77052,-2.383401375,0.438216827,1.578268442,-2.38556131,0.564580445,1.615151545,-0.003361938,0.124878407,0.036429995,0.189485038,0.24110067,0.215292854,0.096081564,0
261.775841,-2.383405195,0.438728062,1.578006263,-2.385608218,0.56638169,1.615711328,-0.003426386,0.125824207,0.037145282,0.190137642,0.242339667,0.216238654,0.07731569,0
261.781131,-2.383408144,0.439137052,1.577744083,-2.385654852,0.56817244,1.616267851,-0.003515417,0.127215094,0.037967245,0.191206579,0.244052504,0.217629541,0.04786985,0
261.785403,-2.383409565,0.439341547,1.577744083,-2.385692513,0.569618581,1.616717276,-0.003613152,0.128799788,0.038523767,0.192610747,0.245817725,0.219214236,0.057746611,0
261.790715,-2.383411696,0.439648289,1.578006263,-2.385739341,0.571416778,1.617276113,-0.003687849,0.12993798,0.038711014,0.193730013,0.246974841,0.220352427,0.067383732,0
261.796026,-2.383414276,0.440006155,1.578137352,-2.385786161,0.573214638,1.617834845,-0.003783185,0.131376731,0.039138761,0.195050226,0.248532131,0.221791178,0.057899207,0
261.801324,-2.383416528,0.440312897,1.578399532,-2.385832866,0.575008096,1.618392209,-0.003882184,0.13286616,0.039435313,0.196490378,0.250070837,0.223280608,0.067651229,0
261.806614,-2.383419249,0.440670762,1.578530622,-2.385879501,0.576798846,1.618948731,-0.003980606,0.134300036,0.039861587,0.19780954,0.251619428,0.224714484,0.05704854,0
261.811991,-2.383421621,0.440977502,1.578792801,-2.385926903,0.578619047,1.619514406,-0.004082566,0.13578222,0.04015593,0.199246512,0.253146823,0.226196668,0.06656901,0
261.817367,-2.383424483,0.441335366,1.578923891,-2.385974296,0.58043891,1.620079975,-0.004186101,0.137242661,0.040590515,0.200593195,0.254721021,0.227657108,0.067933751,0
261.822635,-2.383427392,0.441693229,1.579054981,-2.386051284,0.582528901,1.620695197,-0.004291314,0.138702687,0.041024995,0.226163583,0.284577793,0.255370688,0.077418134,0
261.827918,-2.38343077,0.442102215,1.57931716,-2.386149449,0.584835266,1.621354034,-0.004386973,0.140382604,0.041378037,0.227762639,0.286338573,0.257050606,0.086734213,0
261.833223,-2.38343469,0.442562323,1.57944825,-2.386248024,0.587151236,1.622015614,-0.004478639,0.142228344,0.041905784,0.229436172,0.28835652,0.258896346,0.108112077,0
261.837479,-2.383438671,0.443022431,1.579841519,-2.386327107,0.58900925,1.622546374,-0.004573279,0.144083621,0.042174094,0.231251932,0.290251313,0.260751623,0.105789127,0
